GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
310M300US13780,13780,"Binghamton, NY Metro Area",244094,,213635,1050,12987,1578,13,27,7568,1352,21,38,1866,914,8004,1678,857,743,7147,1606
310M300US13820,13820,"Birmingham-Hoover, AL Metro Area",1147417,,755836,3588,325160,4681,2565,1087,15147,1834,520,380,25142,4233,23047,4531,1836,944,21211,4336
310M300US13900,13900,"Bismarck, ND Metro Area",131547,927,117320,1374,2074,451,9306,1686,714,791,140,233,145,169,1848,960,150,210,1698,940
310M300US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",183411,3298,161019,3377,9306,1451,608,558,5943,1301,30,65,1372,718,5133,1689,873,715,4260,1525
310M300US14010,14010,"Bloomington, IL Metro Area",187326,1551,156943,2724,14410,630,380,354,8635,786,0,185,1931,1691,5027,1380,1097,938,3930,1017
310M300US14020,14020,"Bloomington, IN Metro Area",166336,,145345,763,4222,763,491,264,9867,797,0,192,848,603,5563,1353,178,195,5385,1317
310M300US14100,14100,"Bloomsburg-Berwick, PA Metro Area",84763,,79628,587,1779,524,86,84,1624,337,0,174,834,556,812,425,106,145,706,409
310M300US14260,14260,"Boise City, ID Metro Area",690214,2732,604143,5654,6596,1550,5465,1266,15007,1855,1212,978,37285,5026,20506,2995,3227,1857,17279,2827
310M300US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4794447,,3671796,11909,391465,8098,8169,1806,373970,4742,1502,589,193323,12667,154222,10177,16807,2738,137415,9787
310M300US14500,14500,"Boulder, CO Metro Area",322226,,288623,2100,3453,507,927,537,15560,1005,209,224,5652,1880,7802,1381,993,557,6809,1210
